Lake,Assessment,year,inches,sex,age,pounds
Escanaba,Spring Fyke Net,2011,14.8,1,6,1
Escanaba,Spring Fyke Net,2011,20.3,1,9,2.5
Escanaba,Spring Fyke Net,2011,14.1,1,5,0.69
Escanaba,Spring Fyke Net,2011,18.4,1,7,1.63
Escanaba,Spring Fyke Net,2011,20.3,2,10,3.13
Escanaba,Spring Fyke Net,2011,15.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.6,1,7,1.06
Escanaba,Spring Fyke Net,2011,16.7,1,9,1.25
Escanaba,Spring Fyke Net,2011,12.9,1,4,0.5
Escanaba,Spring Fyke Net,2011,12.6,1,NA,NA
Escanaba,Spring Fyke Net,2011,15,1,6,0.94
Escanaba,Spring Fyke Net,2011,19.5,2,8,2
Escanaba,Spring Fyke Net,2011,14.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.8,2,8,2.06
Escanaba,Spring Fyke Net,2011,16.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,18,1,NA,NA
Escanaba,Spring Fyke Net,2011,13.8,2,5,0.81
Escanaba,Spring Fyke Net,2011,16.3,1,6,1.25
Escanaba,Spring Fyke Net,2011,17.1,1,7,1.38
Escanaba,Spring Fyke Net,2011,14.3,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,17,2,7,1.56
Escanaba,Spring Fyke Net,2011,18.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.9,1,6,1.31
Escanaba,Spring Fyke Net,2011,17.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.4,2,NA,NA
Escanaba,Spring Fyke Net,2012,16.3,2,NA,NA
Escanaba,Spring Fyke Net,2012,20.3,2,NA,NA
Escanaba,Spring Fyke Net,2012,13.2,1,NA,NA
Escanaba,Spring Fyke Net,2012,18.2,1,8,1.94
Escanaba,Spring Fyke Net,2012,16,1,NA,NA
Escanaba,Spring Fyke Net,2012,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2012,24.3,2,14,5.13
Escanaba,Spring Fyke Net,2012,13.8,1,NA,NA
Escanaba,Spring Fyke Net,2012,13.8,1,4,0.75
Escanaba,Spring Fyke Net,2012,21.4,2,NA,NA
Escanaba,Spring Fyke Net,2012,14,1,NA,NA
Escanaba,Spring Fyke Net,2012,17,1,NA,NA
Escanaba,Spring Fyke Net,2012,21.4,2,NA,NA
Escanaba,Spring Fyke Net,2012,17.3,2,NA,NA
Escanaba,Spring Fyke Net,2012,15.1,1,NA,NA
Escanaba,Spring Fyke Net,2012,14.7,1,NA,NA
Escanaba,Spring Fyke Net,2012,19.5,2,NA,NA
Escanaba,Spring Fyke Net,2012,16.5,1,NA,NA
Escanaba,Spring Fyke Net,2012,14,1,6,0.81
Escanaba,Spring Fyke Net,2012,15.7,1,NA,NA
Escanaba,Spring Fyke Net,2012,13.1,1,3,0.69
Escanaba,Spring Fyke Net,2012,15.8,1,NA,NA
Escanaba,Spring Fyke Net,2012,17.9,1,NA,NA
Escanaba,Spring Fyke Net,2012,12.6,3,4,0.44
Escanaba,Spring Fyke Net,2012,15.5,1,NA,NA
Escanaba,Spring Fyke Net,2012,16.3,1,NA,NA
Escanaba,Spring Fyke Net,2012,12.7,1,NA,NA
Escanaba,Spring Fyke Net,2012,19.4,2,NA,NA
Escanaba,Spring Fyke Net,2012,14.9,1,NA,NA
Escanaba,Spring Fyke Net,2012,22.8,2,12,4.69
Escanaba,Spring Fyke Net,2012,16.7,1,NA,NA
Escanaba,Spring Fyke Net,2012,12,3,3,0.5
Escanaba,Spring Fyke Net,2012,14.9,1,NA,NA
Escanaba,Spring Fyke Net,2012,13.6,1,NA,NA
Escanaba,Spring Fyke Net,2012,15.8,1,NA,NA
Escanaba,Spring Fyke Net,2012,16,2,NA,NA
Escanaba,Spring Fyke Net,2012,19.4,2,NA,NA
Escanaba,Spring Fyke Net,2012,20,2,NA,NA
Escanaba,Spring Fyke Net,2012,14.4,1,5,0.81
Escanaba,Spring Fyke Net,2012,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2012,15,1,10,1.25
Escanaba,Spring Fyke Net,2012,16.1,1,NA,NA
Escanaba,Spring Fyke Net,2012,12.9,1,NA,NA
Escanaba,Spring Fyke Net,2012,15.4,1,NA,NA
Escanaba,Spring Fyke Net,2012,17.2,2,NA,NA
Escanaba,Spring Fyke Net,2012,15.5,1,NA,NA
Escanaba,Spring Fyke Net,2012,14.3,1,NA,NA
Escanaba,Spring Fyke Net,2012,16.4,1,NA,NA
Escanaba,Spring Fyke Net,2012,18.7,2,7,2.06
Escanaba,Spring Fyke Net,2012,16.7,1,8,1.44
Escanaba,Spring Fyke Net,2012,16.3,2,NA,NA
Escanaba,Spring Fyke Net,2012,16.5,1,9,1.5
Escanaba,Spring Fyke Net,2012,14.5,1,NA,NA
